scientific_name
Abyssoprimnoa gemina
Acanella africana
Acanella arbuscula
Acanella aurelia
Acanella chiliensis
Acanella dispar
Acanella furcata
Acanella gregori
Acanella microspiculata
Acanella rigida
Acanella robusta
Acanella scarletae
Acanella verticillata
Acanella weberi
Acanthacis austera
Acanthacis scabra
Acanthastrea brevis
Acanthastrea echinata
Acanthastrea hemprichi
Acanthastrea ishigakiensis
Acanthastrea regularis
Acanthastrea rotundoflora
Acanthastrea subechinata
Acanthoaxis wirtzi
Acanthogorgia aldabra
Acanthogorgia angustiflora
Acanthogorgia armata
Acanthogorgia aspera
Acanthogorgia augusta
Acanthogorgia boninensis
Acanthogorgia breviflora
Acanthogorgia brevispina
Acanthogorgia candida
Acanthogorgia ceylonensis
Acanthogorgia densiflora
Acanthogorgia dofleini
Acanthogorgia flabellum
Acanthogorgia fusca
Acanthogorgia glyphica
Acanthogorgia gotoensis
Acanthogorgia gracillima
Acanthogorgia grandiflora
Acanthogorgia gubalensis
Acanthogorgia hedlundi
Acanthogorgia hirsuta
Acanthogorgia ildibaha
Acanthogorgia incrustata
Acanthogorgia inermis
Acanthogorgia irregularis
Acanthogorgia isoxya
Acanthogorgia japonica
Acanthogorgia laxa
Acanthogorgia longiflora
Acanthogorgia media
Acanthogorgia meganopla
Acanthogorgia multispina
Acanthogorgia muricata
Acanthogorgia paradoxa
Acanthogorgia paramuricata
Acanthogorgia pararidleyi
Acanthogorgia pararmata
Acanthogorgia paraspinosa
Acanthogorgia paratruncata
Acanthogorgia pico
Acanthogorgia procera
Acanthogorgia radians
Acanthogorgia ramossissima
Acanthogorgia ridleyi
Acanthogorgia schrammi
Acanthogorgia sibogae
Acanthogorgia spinosa
Acanthogorgia spissa
Acanthogorgia striata
Acanthogorgia studeri
Acanthogorgia tenera
Acanthogorgia thomsoni
Acanthogorgia tori
Acanthogorgia turgida
Acanthogorgia vegae
Acanthogorgia wireni
Acanthoisis dhondtae
Acanthoisis flabellum
Acanthoisis kimbla
Acanthoisis myzourida
Acanthoisis wrastica
Acanthomuricea biserialis
Acanthomuricea dina
Acanthomuricea mberea
Acanthomuricea pulchra
Acanthomuricea purpurea
Acanthomuricea silpa
Acanthomuricea uimea
Acanthoprimnoa cristata
Acanthoprimnoa goesi
Acanthoprimnoa pectinata
Acanthoprimnoa serta
Acanthoprimnoa squamosa
Acanthoptilum agassizii
Acanthoptilum album
Acanthoptilum annulatum
Acanthoptilum gracile
Acanthoptilum longifolium
Acanthoptilum oligacis
Acanthoptilum pourtalesii
Acanthoptilum scalpellifolium
Acrophytum claviger
Acropora abrolhosensis
Acropora abrotanoides
Acropora aculeus
Acropora acuminata
Acropora akajimensis
Acropora anthocercis
Acropora appressa
Acropora arabensis
Acropora arafura
Acropora aspera
Acropora austera
Acropora awi
Acropora azurea
Acropora batunai
Acropora bifurcata
Acropora branchi
Acropora bushyensis
Acropora cardenae
Acropora carduus
Acropora caroliniana
Acropora cerealis
Acropora cervicornis
Acropora chesterfieldensis
Acropora clathrata
Acropora convexa
Acropora cophodactyla
Acropora copiosa
Acropora cylindrica
Acropora cytherea
Acropora dendrum
Acropora derawanensis
Acropora desalwii
Acropora digitifera
Acropora divaricata
Acropora donei
Acropora downingi
Acropora echinata
Acropora efflorescens
Acropora elegans
Acropora elegantula
Acropora elseyi
Acropora eurystoma
Acropora exquisita
Acropora fastigata
Acropora fat_digitifera
Acropora fenneri
Acropora filiformis
Acropora florida
Acropora forskali
Acropora gemmifera
Acropora glauca
Acropora globiceps
Acropora gomezi
Acropora grandis
Acropora granulosa
Acropora haimei
Acropora halmaherae
Acropora hemprichii
Acropora hoeksemai
Acropora horrida
Acropora humilis
Acropora hyacinthus
Acropora indonesia
Acropora inermis
Acropora insignis
Acropora intermedia
Acropora irregularis
Acropora jacquelineae
Acropora japonica
Acropora khayranensis
Acropora kimbeensis
Acropora kirstyae
Acropora kosurini
Acropora lamarcki
Acropora latistella
Acropora lianae
Acropora listeri
Acropora loisetteae
Acropora lokani
Acropora longicyathus
Acropora loripes
Acropora loveli
Acropora lutkeni
Acropora macrostoma
Acropora magnifica
Acropora maryae
Acropora massawensis
Acropora meridiana
Acropora microclados
Acropora microphthalma
Acropora millepora
Acropora minuta
Acropora mirabilis
Acropora monticulosa
Acropora mossambica
Acropora multiacuta
Acropora muricata
Acropora nana
Acropora nasuta
Acropora natalensis
Acropora navini
Acropora ocellata
Acropora orbicularis
Acropora palmata
Acropora palmerae
Acropora paniculata
Acropora papillare
Acropora paragemmifera
Acropora parahemprichii
Acropora parapharaonis
Acropora parilis
Acropora pectinatus
Acropora pharaonis
Acropora pichoni
Acropora pinguis
Acropora plana
Acropora plantaginea
Acropora plumosa
Acropora polystoma
Acropora prolifera
Acropora prostrata
Acropora proximalis
Acropora pruinosa
Acropora pulchra
Acropora rambleri
Acropora retusa
Acropora ridzwani
Acropora robusta
Acropora rongelapensis
Acropora rosaria
Acropora roseni
Acropora rudis
Acropora rufus
Acropora russelli
Acropora samoensis
Acropora sarmentosa
Acropora scherzeriana
Acropora schmitti
Acropora secale
Acropora sekiseiensis
Acropora selago
Acropora seriata
Acropora simplex
Acropora sirikitiae
Acropora solitaryensis
Acropora sordiensis
Acropora spathulata
Acropora speciosa
Acropora spicifera
Acropora squarrosa
Acropora stoddarti
Acropora striata
Acropora subglabra
Acropora subulata
Acropora suharsonoi
Acropora sukarnoi
Acropora surculosa
Acropora tanegashimensis
Acropora tenella
Acropora tenuis
Acropora teres
Acropora tizardi
Acropora torihalimeda
Acropora torresiana
Acropora tortuosa
Acropora tumida
Acropora turaki
Acropora tutuilensis
Acropora valenciennesi
Acropora valida
Acropora variabilis
Acropora variolosa
Acropora vaughani
Acropora vermiculata
Acropora verweyi
Acropora walindii
Acropora willisae
Acropora yongei
Acrossota amboinensis
Actinoptilum molle
Adelogorgia adusta
